time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.5,6.96208157,0.53362984,-0.18393478,0.59204793,1.03683314,-0.02114979,15.92361142,-4.41919984,-11.41261024,-17.71548647,-0.04684768,0.00000056,0,-17.41829478,3.78708627,0.90213501,-1.77644082,7.63098698,0.00000356,0,-25.02839712,-2.12847979,-5.91247224
0.51666667,6.96000225,1.16691156,-0.11789946,0.59097785,1.03310214,-0.02033584,15.39064465,-4.5095677,-10.59664206,-11.71218321,-0.2013623,0.00000105,0,-18.89588658,4.34258704,1.26060154,-1.12327166,8.0907762,0.00000349,0,-25.034998,-2.65041728,-6.22608869
0.53333333,6.92119249,1.79820603,0.15299593,0.59016627,1.02904348,-0.01980368,14.91377974,-4.7593278,-9.42649895,-6.4540792,0.02771066,0.00000152,0,-20.25049485,4.81019313,1.85554857,-0.67924756,8.62356048,0.00000339,0,-24.97354182,-3.09527524,-6.42257471
0.55,6.90147036,2.39168529,0.03602137,0.58985353,1.02494273,-0.01888499,14.51007226,-5.02177448,-7.66925297,-2.0680327,0.44946515,0.00000174,0,-21.64808455,5.35475448,2.09895851,-0.25947147,9.08603001,0.00000351,0,-24.89213308,-3.50551005,-6.5033464
0.56666667,6.9058658,2.8184934,-0.01248081,0.5890949,1.02099961,-0.01812815,14.42124268,-5.27292415,-6.07207392,0.74309778,1.08783545,0.00000172,0,-22.86211005,5.70024173,2.41883337,-0.22069266,9.6702444,0.0000036,0,-24.89448364,-3.73378575,-6.36707964
0.58333333,6.82861878,3.13827769,0.61792218,0.58759211,1.01755789,-0.01794836,14.51199094,-5.61614381,-5.61779286,2.20108064,1.46546908,0.00000181,0,-23.51722743,5.66175434,3.27092655,-1.05438879,10.52618248,0.00000389,0,-25.05772527,-3.51114489,-6.64932969
0.6,6.83433269,3.10713283,0.65993334,0.58833232,1.01481868,-0.01605105,14.72207368,-5.39715733,-5.1060259,2.12790931,1.65511598,0.00000165,0,-24.47507414,5.40177626,3.47943769,-1.66103165,11.092298,0.00000416,0,-24.90933912,-3.26208055,-6.4592403
0.61666667,6.79092698,2.79874227,0.92407072,0.58900074,1.01256074,-0.01363707,15.25323592,-4.91071907,-5.23099212,0.54173177,1.32058624,0.00000141,0,-25.05666437,4.73909787,3.7071048,-2.85087914,11.77818314,0.00000474,0,-24.88099591,-2.66395191,-6.47937645
0.63333333,6.74646694,2.72563835,1.44900752,0.59000098,1.01106488,-0.01122993,15.87455393,-4.751951,-5.72336754,-2.01053873,0.55548059,0.00000116,0,-25.42867548,4.18416359,4.2766153,-4.4124995,12.25239296,0.00000531,0,-24.8262303,-2.22991112,-6.69302261
0.65,6.63715803,2.51845094,1.92555483,0.59154126,1.00990945,-0.0082072,16.55243027,-4.45488941,-6.32224648,-4.98059273,-0.58674769,0.00000079,0,-25.61766632,3.50450541,4.74918213,-6.19173697,12.54941381,0.00000601,0,-24.62031712,-1.7275436,-6.96596542
0.66666667,6.49418782,2.39367447,2.30178891,0.59352714,1.00945612,-0.00566405,17.1433851,-4.30491116,-6.76488365,-7.93514948,-1.82262681,0.00000058,0,-25.53350226,3.03047687,5.13829645,-8.43298241,12.54219503,0.00000683,0,-24.32861176,-1.14397178,-7.06238032
0.68333333,6.5439937,2.28338539,2.41360873,0.5951662,1.00978397,-0.0028225,17.69863154,-4.1497617,-6.88124375,-11.30745806,-2.52884114,0.00000051,0,-25.25919992,2.71626571,5.22337015,-11.36753963,12.23559366,0.00000788,0,-24.21114645,-0.60995461,-6.88206326
0.7,6.77568301,1.96872394,2.73416731,0.59847696,1.01120503,-0.00043542,17.72504182,-3.8645654,-7.12856508,-14.44225264,-2.64312282,0.00000046,0,-24.88372357,2.12872262,5.28132996,-14.90075962,11.42837194,0.0000091,0,-24.30166035,0.15524385,-6.90022573
0.71666667,6.99921275,1.71645369,2.98274438,0.60140722,1.01308053,0.00194462,17.31489888,-3.61148102,-7.27999785,-16.73031603,-2.57215725,0.00000044,0,-23.8564828,1.66028602,5.00468938,-19.46769877,10.13601302,0.0000108,0,-24.27009184,0.97990843,-6.95952294
0.73333333,6.99384397,1.61443779,3.1896811,0.60344034,1.01465831,0.0049704,17.08805629,-3.48054183,-7.44119623,-18.85860754,-2.14140219,0.00000062,0,-21.57799459,1.3195255,4.22003204,-25.63858771,8.32979742,0.00001308,0,-24.07182831,1.38866856,-6.80738052
0.75,6.92138894,1.36227421,3.34708141,0.60582138,1.01652143,0.00804026,16.45695413,-3.13887775,-7.71298768,-20.13460602,-1.53032278,0.00000112,0,-18.79880679,0.67190943,2.7882398,-32.15690276,5.42485534,0.00001528,0,-23.77589764,1.95248457,-7.03245272
0.76666667,6.63649155,1.04258153,3.55262506,0.60742367,1.01814539,0.01099257,15.89913921,-2.69991964,-7.99660476,-21.06042412,-0.62120353,0.00000141,0,-15.21249573,-0.37251193,0.74265381,-39.09954505,1.57643077,0.00001741,0,-23.35403434,2.52794539,-6.71534815
0.78333333,6.37560572,0.47375066,3.75046294,0.60767928,1.01974452,0.0145462,15.06499385,-1.8893904,-8.34746227,-21.27391082,0.20136964,0.00000156,0,-11.43080319,-2.04745753,-1.56068199,-45.73144458,-2.60742236,0.00001825,0,-23.02316034,3.19889242,-6.33827279
0.8,6.20937716,-0.31302843,3.77508831,0.60791447,1.02132857,0.01833906,14.10494657,-0.75082513,-8.49733216,-21.3684616,1.19285569,0.00000154,0,-7.82344893,-4.23627998,-4.02230103,-51.74599377,-6.29769961,0.00001796,0,-22.76512704,4.01499083,-5.56156303
0.81666667,6.20629268,-1.1417093,3.94060823,0.6079869,1.02361243,0.02227647,12.57934067,0.49241249,-8.75750022,-20.63757843,1.92850972,0.00000139,0,-4.6933696,-6.46614953,-5.67402549,-56.7343755,-8.45805533,0.00001606,0,-22.53837566,4.86282267,-5.38155236
0.83333333,6.18493322,-1.61066138,4.01823613,0.60760101,1.02617859,0.02579071,11.11851449,1.35650146,-8.79311225,-19.9725521,2.68921913,0.00000127,0,-1.7378414,-8.05852876,-6.76804431,-60.92725702,-8.88537526,0.00001356,0,-22.4453634,5.23075949,-4.64634561
0.85,6.2340095,-1.93537083,3.91502057,0.60709629,1.02913243,0.02914252,9.39026595,2.10889102,-8.62352401,-18.8832809,3.23519516,0.00000106,0,0.93847375,-9.12086572,-7.42303963,-64.30144141,-7.94930922,0.00001098,0,-22.53677086,5.34040153,-3.98287845
0.86666667,6.35283876,-1.94425628,3.75007221,0.60651677,1.03231103,0.03207702,7.63751867,2.48752331,-8.33909726,-17.94538497,3.78814707,0.00000118,0,3.34958458,-9.51464897,-7.7872406,-66.80234691,-6.38598276,0.00000913,0,-22.60077563,5.17178421,-3.29077586
0.88333333,6.31117232,-1.76556751,3.62368245,0.60536416,1.03534657,0.03466717,5.87542055,2.64415714,-8.07270857,-16.57809117,4.1445303,0.00000107,0,5.87433959,-9.39101996,-7.83794294,-68.53262175,-4.79261549,0.00000822,0,-22.60549829,4.78497731,-2.87001379
0.9,6.42203085,-1.50032491,3.33537908,0.60439443,1.03830735,0.03702819,3.99315471,2.68952521,-7.61743511,-15.32693038,4.51326766,0.00000106,0,8.03242361,-8.92180417,-7.82776289,-69.44251576,-3.41830862,0.00000822,0,-22.80949389,4.23908314,-2.3530714
0.91666667,6.40689073,-1.15856852,3.14131663,0.60288914,1.04077644,0.03887382,2.27233585,2.58834735,-7.26604883,-14.05870079,4.80360808,0.0000012,0,10.21871707,-8.13954762,-7.58192309,-69.5632274,-2.32020704,0.00000895,0,-22.81388962,3.70405317,-2.13572386
0.93333333,6.3936683,-0.80531264,2.88845901,0.60171697,1.04304227,0.04049703,0.44930579,2.44505836,-6.91677596,-12.60922178,4.99195049,0.00000131,0,12.15212536,-7.17134762,-7.22477621,-68.82007314,-1.48228861,0.00001002,0,-22.86736317,3.16672554,-1.35614997
0.95,6.17769035,-0.34889857,2.13010778,0.59909361,1.04419179,0.04251554,-0.66127584,2.10546284,-6.05283022,-11.93676761,5.46938509,0.00000127,0,14.11787845,-6.14011614,-7.34058763,-67.39130199,-0.81849057,0.00001091,0,-22.79163465,2.33300168,-0.64061023
0.96666667,5.99236641,-0.11602059,1.75137187,0.5967738,1.04491936,0.04374483,-1.93269696,1.97440438,-5.61095721,-11.01799928,5.77842981,0.0000014,0,15.92765201,-5.33391625,-7.16114822,-65.30950564,-0.2329866,0.0000115,0,-22.76539581,1.93257945,-0.34690486
0.98333333,6.1210861,0.11635136,1.33038193,0.59592364,1.0458746,0.04503109,-3.75017939,1.85006679,-5.2164406,-9.86628378,6.05491199,0.00000144,0,16.95521144,-4.62675533,-7.13777698,-62.35820848,0.37589913,0.00001156,0,-22.88524047,1.4782901,-0.01643172
1,6.16673496,0.32206722,1.06976979,0.59325284,1.04615837,0.04602888,-5.10267921,1.72903021,-4.93262659,-9.25228218,6.49966862,0.0000013,0,18.00351876,-4.02461155,-7.14593411,-58.8095141,0.84508066,0.00001088,0,-23.22966725,1.07862255,0.39477235
1.01666667,6.18292523,0.34599827,0.81482293,0.59124849,1.04598025,0.04702142,-6.50201513,1.80041966,-4.70867998,-8.55091879,6.91194418,0.00000125,0,18.75853078,-3.745623,-7.35018859,-54.62372646,1.23547979,0.00000956,0,-23.34514953,0.87086419,0.72403485
1.03333333,6.14973696,0.20220791,0.64722682,0.58915207,1.0453403,0.04810014,-7.91382892,2.06640445,-4.58939916,-7.7190728,7.25240122,0.00000123,0,19.36592892,-3.80401239,-7.83758654,-49.9368744,1.31262929,0.0000082,0,-23.44350604,0.88029439,1.02568354
1.05,6.2283168,-0.06652086,0.52636853,0.58705715,1.04456075,0.04870858,-9.40372663,2.42984175,-4.48348081,-6.98600587,7.59819061,0.00000119,0,19.60972114,-4.01404369,-8.55109787,-44.73956501,1.09278942,0.00000657,0,-23.70997781,1.03406914,1.16678609
1.06666667,6.04074911,-0.61395537,0.23918021,0.58481861,1.04277281,0.04948577,-10.53727877,3.03658121,-4.12699643,-6.36723201,7.95686332,0.00000111,0,19.99024804,-4.54854261,-9.49980658,-39.31670593,0.69967152,0.00000512,0,-23.50504129,1.46832356,1.68373696
1.08333333,5.86383085,-0.93566677,0.00274771,0.58296202,1.04076955,0.04966341,-11.73503993,3.35293667,-3.70729864,-5.73701727,8.37436768,0.00000101,0,20.06766608,-4.68170842,-10.44906538,-33.44998702,0.05308604,0.00000388,0,-23.4837932,1.58549033,1.85430114
1.1,5.65875617,-1.43759029,-0.25892918,0.58155552,1.03829664,0.05008014,-13.01155027,3.85166738,-3.19732869,-4.97017195,8.69373431,0.00000118,0,20.13721916,-4.89804098,-11.06634384,-27.72703756,-0.50832982,0.00000349,0,-23.28903886,1.94475501,2.25757183
1.11666667,5.41515587,-1.8371745,-0.50450332,0.58020154,1.03552148,0.05022021,-14.13490241,4.21418688,-2.60480801,-4.48316858,9.17153051,0.00000111,0,20.06494228,-4.81753984,-11.02641548,-21.8700619,-0.9890677,0.00000332,0,-23.12608525,2.22373263,2.349506
1.13333333,5.25856074,-2.32336458,-0.98336015,0.57861845,1.0325331,0.05011205,-15.24415022,4.54987456,-1.75370685,-4.20373306,9.71064382,0.00000111,0,19.86045402,-4.82652162,-10.39858889,-16.33800569,-1.20004962,0.00000341,0,-23.0975865,2.43970131,2.89131753
1.15,5.32616879,-2.73555124,-1.25244189,0.57784706,1.02972915,0.04957268,-16.64434039,4.82119263,-1.10708802,-3.90564309,10.20846776,0.00000114,0,19.19741833,-4.70299981,-8.95902984,-10.94132828,-1.25807381,0.00000338,0,-23.20730362,2.7286292,3.23198925
1.16666667,5.31994461,-3.03178977,-1.61947907,0.57753095,1.02651905,0.04938111,-18.05222688,4.94372738,-0.53986851,-3.5033479,10.64502663,0.00000114,0,18.68556804,-4.65004806,-7.37811273,-6.5260679,-1.00701637,0.00000334,0,-23.3334109,2.70233089,3.1890131
1.18333333,5.47983606,-3.35225714,-2.18256257,0.57706485,1.0237051,0.04897327,-19.40714169,4.94866677,0.16273883,-3.54890872,11.14001127,0.00000116,0,18.09015948,-4.77638507,-6.08424487,-3.24930922,-0.60034292,0.0000033,0,-23.47890525,2.7205165,3.82995373
1.2,5.41982173,-3.45773691,-2.45453649,0.5774246,1.02071558,0.04848116,-20.60143193,4.83720986,0.49921446,-3.49933767,11.48611362,0.0000014,0,17.90238886,-4.68881183,-4.92067857,-1.28106629,-0.22723685,0.00000326,0,-23.41969929,2.50604504,3.5409208
1.21666667,5.58591971,-3.5583117,-2.70643894,0.57704818,1.01854527,0.04769643,-21.63115903,4.67998659,0.85325592,-4.15413036,11.92108129,0.00000155,0,17.91373185,-4.62339416,-4.10985697,-1.13346857,0.1182832,0.00000333,0,-23.68683885,2.23502685,3.63709144
1.23333333,5.6954215,-3.49468041,-3.03070825,0.57741358,1.0167378,0.04666819,-22.50314668,4.30284072,1.26527554,-5.01399583,12.28674551,0.0000019,0,18.08186825,-4.40251292,-3.7068392,-2.21418139,0.15697808,0.00000345,0,-23.71991808,1.78338266,3.55111381
1.25,5.62437432,-3.36496517,-3.6186228,0.57889368,1.0153238,0.04502845,-23.01185098,3.70746565,1.86003953,-6.30126631,12.54939972,0.00000236,0,18.42643052,-4.15898378,-3.74298369,-4.194403,-0.2042098,0.00000353,0,-23.49198809,1.32650158,3.68796373
1.26666667,5.51179859,-3.13750408,-3.63414762,0.58110228,1.01405257,0.04312872,-23.31497532,3.26928695,1.90384024,-7.94829797,12.71111364,0.00000286,0,19.01945735,-3.69717409,-3.45877263,-6.90678759,-0.95277884,0.00000387,0,-23.06426155,0.83488139,3.44490667
1.28333333,5.32776912,-3.34112498,-3.79832019,0.58212231,1.01320283,0.0417642,-23.07429693,3.251812,2.14525881,-10.39075609,12.67314284,0.0000034,0,19.60967377,-3.79462425,-3.37234485,-9.5792713,-2.07553985,0.00000408,0,-22.87561768,0.62844287,3.35139923
1.3,5.25065328,-3.23853833,-4.00004481,0.58473828,1.01310738,0.04016773,-22.98558608,2.86875914,2.20863763,-12.78768333,12.13619093,0.00000416,0,19.96072894,-3.61825059,-3.57737172,-12.30108233,-2.95289745,0.0000044,0,-22.53017949,0.01524675,3.18275268
1.31666667,5.43721649,-3.0537681,-4.16526694,0.58788579,1.01397219,0.03834863,-22.62864279,2.39435534,2.13982126,-16.19866287,11.31018605,0.00000496,0,19.8253366,-3.35909209,-3.90892062,-14.75707884,-3.52776154,0.00000488,0,-22.43732505,-0.61302966,2.81983058
1.33333333,5.67078361,-2.89293189,-4.18885582,0.59119022,1.0153586,0.03630205,-21.77339923,1.96808116,1.66004293,-20.52017066,9.94229218,0.00000597,0,19.47867241,-3.09263164,-4.11141879,-16.99313513,-3.66316362,0.00000514,0,-22.32410615,-1.17801842,2.54719744
1.35,6.14368725,-2.63780468,-4.09625839,0.59463631,1.01753858,0.03372217,-20.58820284,1.35330854,0.60892188,-25.67103838,7.72062754,0.00000713,0,18.61154502,-2.66224574,-4.23888573,-18.80776247,-3.43709123,0.00000529,0,-22.43185676,-1.73715395,2.12285811
1.36666667,6.45460006,-2.30280778,-3.89345998,0.59775605,1.01967615,0.03040435,-18.57513679,0.47125302,-1.0975897,-31.63766911,4.49884947,0.0000082,0,17.65646269,-2.09358062,-4.30967243,-20.1137207,-2.96396132,0.00000561,0,-22.42913089,-2.24793594,1.5762188
1.38333333,6.59905523,-1.8707627,-3.77469424,0.60017493,1.02164975,0.02676795,-15.84374782,-0.85378483,-3.16693996,-38.02472752,0.37843183,0.00000888,0,16.64886468,-1.42273889,-4.44817416,-20.9616944,-2.25755935,0.00000589,0,-22.36449198,-2.77560985,1.18569273
1.4,6.69314015,-1.36902658,-3.66343303,0.60184162,1.02360423,0.02319713,-12.84535395,-2.51242185,-5.2855733,-44.17735,-4.09822002,0.00000823,0,15.55028539,-0.65523193,-4.53236692,-21.47714542,-1.36412076,0.00000604,0,-22.21855835,-3.31456224,0.53714346
1.41666667,6.93512853,-0.82148918,-3.62447102,0.60321252,1.0262578,0.01940797,-10.07155995,-4.38126622,-7.06023232,-49.60389898,-7.95449979,0.00000667,0,13.93236288,0.22562969,-4.63858283,-21.26981702,-0.50770362,0.00000594,0,-22.36692719,-3.84490797,0.00238403
1.43333333,7.0944935,-0.19818651,-3.849022,0.60307508,1.02864447,0.01600767,-7.03999353,-6.24017227,-7.93326319,-54.7300999,-9.96340978,0.00000443,0,12.35036175,1.1503638,-4.93002297,-20.79436573,0.28087706,0.00000572,0,-22.48294079,-4.44428283,-0.30261758
1.45,7.3238958,0.21555804,-4.07662949,0.60265334,1.0314792,0.01265908,-4.22314819,-7.58925303,-8.15293448,-59.09680243,-9.99476766,0.00000204,0,10.61742509,1.89495652,-5.12942809,-20.15658348,1.03239698,0.00000553,0,-22.58526967,-4.74675044,-0.51799279
1.46666667,7.37890673,0.09006834,-3.57196313,0.60314227,1.03489265,0.00912236,-1.79339211,-7.92113788,-8.70125427,-62.26180328,-8.64531509,-0.00000005,0,8.9364466,2.14736082,-4.50096184,-19.37321763,1.74565416,0.00000553,0,-22.56415781,-4.26299211,-1.42940453
